cleaned_text,label_id
آلية تصحيح أوضاع السجلات التجارية الفرعية لعام 1446 ه معلومات الوثيقة - - أداة الاعتماد قرار وزاري رقم الوثيقة : 288 تاريخ الاعتماد : 1446 - 09 - 20 - - جهة الإصدار وزارة التجارة - - فئة الوثيقة اللوائح - - النفاذ سارية - - نبذة الوثيقة تضمن القرار : مهلة تصحيح أوضاع السجلات التجارية الفرعية ، خيارات تصحيح السجل التجاري الفرعي ، التراخيص والموافقات والأنشطة المرتبطة بالسجل التجاري الفرعي ، انقال التراخيص والموافقات والأنشطة المرتبطة بالسجل التجاري الفرعي ، استمرار تأكيد بيانات السجل التجاري الفرعي إلى حين تصحيحه ، شطب السجل التجاري الفرعي بانتهاء المهلة المحددة ، المقابل المالي للخدمات المتعلقة بالسجل التجاري الفرعي . - - صحيفة أم القرى رقم العدد : 5079 تاريخ الاصدار : 1446 - 10 - 01,2
الاشتراطات البلدية لمكاتب تأجير وسائل النقل لعام 1446 ه معلومات الوثيقة - - أداة الاعتماد قرار وزاري رقم الوثيقة : 1 - 4600532440 تاريخ الاعتماد : 1446 - 09 - 12 - - جهة الإصدار وزارة البلديات والإسكان - - فئة الوثيقة اللوائح - - النفاذ سارية - - نبذة الوثيقة تضمن القرار : المقدمة والتعريفات ، متطلبات الترخيص ، المتطلبات المكانية ، المتطلبات الفنية ، المتطلبات التشغيلية ، الأحكام العامة والتظلمات ، الأدلة المرجعية .,1
ضم أربع جهات إلى عضوية اللجنة الوطنية لمكافحة التبغ معلومات الوثيقة - - أداة الاعتماد قرار مجلس الوزراء رقم الوثيقة : 706 تاريخ الاعتماد : 1446 - 09 - 18 - - جهة الإصدار مجلس الوزراء - - فئة الوثيقة التنظيمات الإدارية - - النفاذ سارية - - نبذة الوثيقة تضمن القرار : ضم هيئة الزكاة والضريبة والجمارك ، الهيئة السعودية للمواصفات والمقاييس والجودة ، هيئة الصحة العامة ، اللجنة التنسيقية لجمعيات الحماية من منتجات التبغ ، إلى عضوية اللجنة الوطنية لمكافحة التبغ الصادرة بقرار مجلس الوزراء رقم ( 64 ) وتاريخ 1 - 2 - 1428 ه .,2
إيقاف العمل بالضوابط الخاصة باستفادة المدارس الأهلية من أراضي المرافق التعليمية لعام 1436 ه اعتبارا من تاريخ نفاذ الضوابط الجديدة معلومات الوثيقة - - أداة الاعتماد قرار مجلس الوزراء رقم الوثيقة : 704 تاريخ الاعتماد : 1446 - 09 - 18 - - جهة الإصدار مجلس الوزراء - - فئة الوثيقة تعديلات على اللوائح والتنظيمات - - النفاذ غير سارية - - نبذة الوثيقة تضمن قرار مجلس الوزراء : إيقاف العمل بالضوابط الخاصة باستفادة المدارس الأهلية من أراضي المرافق التعليمية لعام 1436 ه اعتبارا من تاريخ نفاذ الضوابط الجديدة ، وضع ضوابط خاصة باستفادة المدارس الأهلية من أراضي المرافق التعليمية ، طلب المستثمرين باستفادة المدارس الأهلية من أراضي المرافق التعليمية وطلبات تعديل النوع والمرحلة التعليمية ، تعديل دليل اشتراطات المدارس الأهلية لعام 1441 ه ، تحديث المعايير الخاصة بالمرافق التعليمية ، اقتراح تعديل ضوابط تعديل استخدام الأراضي المخصصة للمرافق العامة في المخططات الخاصة لعام 1438 ه . - - صحيفة أم القرى رقم العدد : 5077 تاريخ الاصدار : 1446 - 09 - 28,1
إضافة وزير البلديات والإسكان إلى عضوية مجلس المخاطر الوطنية ولجنته التنفيذية معلومات الوثيقة - - أداة الاعتماد قرار مجلس الوزراء رقم الوثيقة : 702 تاريخ الاعتماد : 1446 - 09 - 18 - - جهة الإصدار مجلس الوزراء - - فئة الوثيقة التنظيمات الإدارية - - النفاذ سارية - - نبذة الوثيقة تضمن القرار : إضافة وزير البلديات والإسكان إلى عضوية مجلس المخاطر الوطنية ولجنته التنفيذية .,2
اللائحة التنفيذية لنظام السجل التجاري لعام 1446 ه معلومات الوثيقة - - أداة الاعتماد قرار وزاري رقم الوثيقة : 288 تاريخ الاعتماد : 1446 - 09 - 20 - - جهة الإصدار وزارة التجارة - - فئة الوثيقة اللوائح - - النفاذ سارية - - نبذة الوثيقة تضمنت اللائحة : التعريفات ، المسجل واختصاصاته ومهماته ، البيانات الواجب تضمينها في طلب القيد في السجل التجاري ، الأحكام المتعلقة بقيد النشاط في السجل التجاري ، قيد المستثمر الأجنبي في السجل التجاري ، قيد التاجر في السجل التجاري ، تصحيح الطلب أو استكماله ، طريقة تقديم الطلب ، تحديث المسجل بيانات القيد ، تاريخ استحقاق التأكيد السنوي ، تعليق القيد في السجل التجاري ، إجراءات الشطب الاختياري ، إجراءات الطلب باستمرار مزاولة نشاط التاجر المتوفى ، عرض البيانات المقيدة في السجل التجاري ، البيانات المقيدة في السجل التجاري ، الاستثناء من القيد في السجل التجاري ، ضبط المخالفات ، المقابل المالي ، جدول تصنيف المخالفات ، وسائل التبليغ ، نفاذ اللائحة ، المقابل المالي للخدمات المتعلقة بالسجل التجاري . - - صحيفة أم القرى رقم العدد : 5079 تاريخ الاصدار : 1446 - 10 - 01,0
ضوابط الأسماء التجارية المقيدة قبل نفاذ نظام الأسماء التجارية لعام 1446 ه معلومات الوثيقة - - أداة الاعتماد قرار وزاري رقم الوثيقة : 288 تاريخ الاعتماد : 1446 - 09 - 20 - - جهة الإصدار وزارة التجارة - - فئة الوثيقة اللوائح - - النفاذ سارية - - نبذة الوثيقة تضمن القرار : ضوابط ممارسة مالك الاسم التجاري القائم المرتبط بنشاط ، ضوابط ممارسة الاسم التجاري القائم غير المرتبط بنشاط ، قيد اسم تجاري جديد . - - صحيفة أم القرى رقم العدد : 5079 تاريخ الاصدار : 1446 - 10 - 01,0
قواعد حوكمة إقامة الفعاليات لعام 1446 ه معلومات الوثيقة - - أداة الاعتماد توجيه سامي رقم الوثيقة : 66952 تاريخ الاعتماد : 1446 - 09 - 15 - - جهة الإصدار مجلس الوزراء - - فئة الوثيقة اللوائح - - النفاذ سارية - - نبذة الوثيقة تضمنت القواعد : قواعد وإجراءات تنفيذ الفعاليات ، جانب برنامج ومحتوى الفعالية ، الجانب الأمني ، الجانب اللوجستي ، جانب الحركة المرورية ، جانب الصحة والسلامة ، الجانب الإعلامي والترويجي .,0
"تعديل المادتين ( 1 ، 15 ) من نظام تطبيق كود البناء السعودي لعام 1438 ه معلومات الوثيقة - - أداة الاعتماد مرسوم ملكي رقم الوثيقة : م - 204 تاريخ الاعتماد : 1446 - 09 - 12 - - جهة الإصدار الديوان الملكي - - فئة الوثيقة تعديلات الأنظمة - - النفاذ سارية - - نبذة الوثيقة تضمن المرسوم الملكي : تعديل تعريف ( اللجنة الوطنية ) الوارد في المادة ( الأولى ) ، ليكون "" المركز : المركز السعودي لكود البناء "" ، تعديل عبارة "" تعد اللجنة الوطنية "" ، لتكون "" يعد المركز "" ، وعبارة "" وزير التجارة رئيس مجلس إدارة الهيئة السعودية للمواصفات والمقاييس والجودة "" ، لتكون "" وزير البلديات والإسكان "" ، وذلك في المادة ( الخامسة عشرة ) ، من نظام تطبيق كود البناء السعودي ، الصادر بالمرسوم الملكي رقم ( م - 43 ) بتاريخ 26 - 4 - 1438 ه . - - صحيفة أم القرى رقم العدد : 5077 تاريخ الاصدار : 1446 - 09 - 28",0
اللائحة التنفيذية لنظام الأسماء التجارية لعام 1446 ه معلومات الوثيقة - - أداة الاعتماد قرار وزاري رقم الوثيقة : 288 تاريخ الاعتماد : 1446 - 09 - 20 - - جهة الإصدار وزارة التجارة - - فئة الوثيقة اللوائح - - النفاذ سارية - - نبذة الوثيقة تضمنت اللائحة : التعريفات ، حجز أو قيد الاسم التجاري ، حجز أو قدي اسم التاجر الشخصي والاسم العائلي ، حجز أو قيد اسم السعودية وأسماء المدن والمناطق والأماكن العامة ، معايير تشابه الأسماء التجارية ، بيانات حجز الاسم التجاري ، البت في طلب حجز الاسم التجاري أو قيده ، مدة حجز الاسم التجاري وضوابطه ، شهر الاسم التجاري المقبول حجزه ، طلب تعديل الاسم التجاري ، التصرف في الاسم التجاري ، شطب المسجل قيد الاسم التجاري ، ضبط المخالفات ، المقابل المالي ، جدول تصنيف المخالفات ، وسائل التبليغ ، خبراء اللغة العربية ، نفاذ اللائحة ، المقابل المالي للخدمات المتعلقة بالأسماء التجارية - - صحيفة أم القرى رقم العدد : 5079 تاريخ الاصدار : 1446 - 10 - 01,0
